dataset,arm,stage,run_name,fine_tune_mode,num_unfrozen_layers,lr,weight_decay,dropout,batch_size,epochs,seed,n_train,opt_steps,best_dev_acc,best_epoch,wall_seconds,peak_mem_bytes
sst,head,extract,extract-sst-train,,,,,,8,,,,,,,24.7,
sst,head,extract,extract-sst-dev,,,,,,8,,,,,,,4.6,
cfimdb,head,extract,extract-cfimdb-train,,,,,,2,,,,,,,31.7,
cfimdb,head,extract,extract-cfimdb-dev,,,,,,2,,,,,,,6.1,
sst,head,lr,sst-head-lr0.0001,last-linear-layer,0,0.0001,0.0,0.3,8,5,11711,8544,5340,0.4351,2,2.8,48491520
sst,head,lr,sst-head-lr0.0003,last-linear-layer,0,0.0003,0.0,0.3,8,5,11711,8544,5340,0.4441,1,3.1,48491520
sst,head,lr,sst-head-lr0.001,last-linear-layer,0,0.001,0.0,0.3,8,5,11711,8544,5340,0.4559,3,3.4,48491520
sst,head,lr,sst-head-lr0.003,last-linear-layer,0,0.003,0.0,0.3,8,5,11711,8544,5340,0.4323,3,2.8,48491520
sst,head,lr,sst-head-lr0.01,last-linear-layer,0,0.01,0.0,0.3,8,5,11711,8544,5340,0.4169,1,3.6,48491520
sst,head,lr,sst-head-lr0.03,last-linear-layer,0,0.03,0.0,0.3,8,5,11711,8544,5340,0.4205,1,2.8,48491520
sst,full,lr,sst-full-lr5e-06,full-model,12,5e-06,0.0,0.3,8,5,11711,8544,5340,0.4923,4,527.9,2185251840
sst,full,lr,sst-full-lr1e-05,full-model,12,1e-05,0.0,0.3,8,5,11711,8544,5340,0.5123,3,520.2,2186995200
sst,full,lr,sst-full-lr3e-05,full-model,12,3e-05,0.0,0.3,8,5,11711,8544,5340,0.4986,3,520.5,2186995200
sst,full,lr,sst-full-lr0.0001,full-model,12,0.0001,0.0,0.3,8,5,11711,8544,5340,0.4914,0,521.1,2186995200
sst,top2,ladder,sst-top2-lr1e-05,top-layers,2,1e-05,0.0,0.3,8,5,11711,8544,5340,0.4650,4,193.4,729676800
sst,top2,ladder,sst-top2-lr3e-05,top-layers,2,3e-05,0.0,0.3,8,5,11711,8544,5340,0.4941,4,193.1,729676800
sst,top2,ladder,sst-top2-lr0.0001,top-layers,2,0.0001,0.0,0.3,8,5,11711,8544,5340,0.4977,4,192.7,729676800
sst,top4,ladder,sst-top4-lr1e-05,top-layers,4,1e-05,0.0,0.3,8,5,11711,8544,5340,0.4886,4,246.1,917704704
sst,top4,ladder,sst-top4-lr3e-05,top-layers,4,3e-05,0.0,0.3,8,5,11711,8544,5340,0.4914,2,246.6,917704704
sst,top4,ladder,sst-top4-lr0.0001,top-layers,4,0.0001,0.0,0.3,8,5,11711,8544,5340,0.4977,1,246.9,917704704
sst,top8,ladder,sst-top8-lr1e-05,top-layers,8,1e-05,0.0,0.3,8,5,11711,8544,5340,0.5041,2,354.4,1292740608
sst,top8,ladder,sst-top8-lr3e-05,top-layers,8,3e-05,0.0,0.3,8,5,11711,8544,5340,0.5104,3,358.2,1292740608
sst,top8,ladder,sst-top8-lr0.0001,top-layers,8,0.0001,0.0,0.3,8,5,11711,8544,5340,0.4968,0,357.2,1292740608
sst,head,reg,sst-head-do0.0-wd0,last-linear-layer,0,0.001,0.0,0.0,8,5,11711,8544,5340,0.4441,2,2.6,48491520
sst,head,reg,sst-head-do0.0-wd0.01,last-linear-layer,0,0.001,0.01,0.0,8,5,11711,8544,5340,0.4450,2,4.1,48491520
sst,head,reg,sst-head-do0.0-wd0.1,last-linear-layer,0,0.001,0.1,0.0,8,5,11711,8544,5340,0.4450,2,3.8,48491520
sst,head,reg,sst-head-do0.1-wd0,last-linear-layer,0,0.001,0.0,0.1,8,5,11711,8544,5340,0.4605,3,3.7,48491520
sst,head,reg,sst-head-do0.1-wd0.01,last-linear-layer,0,0.001,0.01,0.1,8,5,11711,8544,5340,0.4605,3,3.7,48491520
sst,head,reg,sst-head-do0.1-wd0.1,last-linear-layer,0,0.001,0.1,0.1,8,5,11711,8544,5340,0.4596,3,4.6,48491520
sst,head,reg,sst-head-do0.3-wd0,last-linear-layer,0,0.001,0.0,0.3,8,5,11711,8544,5340,0.4559,3,3.3,48491520
sst,head,reg,sst-head-do0.3-wd0.01,last-linear-layer,0,0.001,0.01,0.3,8,5,11711,8544,5340,0.4569,3,2.8,48491520
sst,head,reg,sst-head-do0.3-wd0.1,last-linear-layer,0,0.001,0.1,0.3,8,5,11711,8544,5340,0.4541,3,2.8,48491520
sst,full,reg,sst-full-do0.0,full-model,12,1e-05,0.0,0.0,8,5,11711,8544,5340,0.5123,3,525.9,2184642048
sst,full,reg,sst-full-do0.1,full-model,12,1e-05,0.0,0.1,8,5,11711,8544,5340,0.5195,3,530.6,2184636928
sst,full,reg,sst-full-wd0.01,full-model,12,1e-05,0.01,0.1,8,5,11711,8544,5340,0.5186,3,546.7,2184636928
sst,full,reg,sst-full-wd0.1,full-model,12,1e-05,0.1,0.1,8,5,11711,8544,5340,0.5168,3,545.1,2184636928
sst,head,seed,sst-head-seed1,last-linear-layer,0,0.001,0.0,0.1,8,5,1,8544,5340,0.4569,1,2.8,48491520
sst,head,seed,sst-head-seed2,last-linear-layer,0,0.001,0.0,0.1,8,5,2,8544,5340,0.4687,4,3.4,48491520
sst,head,seed,sst-head-seed3,last-linear-layer,0,0.001,0.0,0.1,8,5,3,8544,5340,0.4605,4,4.4,48491520
sst,head,seed,sst-head-seed4,last-linear-layer,0,0.001,0.0,0.1,8,5,4,8544,5340,0.4559,2,3.5,48491520
sst,head,seed,sst-head-seed5,last-linear-layer,0,0.001,0.0,0.1,8,5,5,8544,5340,0.4496,3,3.7,48491520
sst,full,seed,sst-full-seed1,full-model,12,1e-05,0.0,0.1,8,5,1,8544,5340,0.4886,3,530.0,2185826816
sst,full,seed,sst-full-seed2,full-model,12,1e-05,0.0,0.1,8,5,2,8544,5340,0.5095,1,531.9,2183659008
sst,full,seed,sst-full-seed3,full-model,12,1e-05,0.0,0.1,8,5,3,8544,5340,0.5186,3,525.9,2186480128
cfimdb,head,lr,cfimdb-head-lr0.0001,last-linear-layer,0,0.0001,0.0,0.3,2,5,11711,1707,4270,0.7837,1,2.2,24177664
cfimdb,head,lr,cfimdb-head-lr0.0003,last-linear-layer,0,0.0003,0.0,0.3,2,5,11711,1707,4270,0.8204,3,2.6,24177664
cfimdb,head,lr,cfimdb-head-lr0.001,last-linear-layer,0,0.001,0.0,0.3,2,5,11711,1707,4270,0.8367,4,2.8,24177664
cfimdb,head,lr,cfimdb-head-lr0.003,last-linear-layer,0,0.003,0.0,0.3,2,5,11711,1707,4270,0.8449,1,3.0,24177664
cfimdb,head,lr,cfimdb-head-lr0.01,last-linear-layer,0,0.01,0.0,0.3,2,5,11711,1707,4270,0.8204,3,3.7,24177664
cfimdb,head,lr,cfimdb-head-lr0.03,last-linear-layer,0,0.03,0.0,0.3,2,5,11711,1707,4270,0.8082,1,3.0,24177664
cfimdb,full,transfer,cfimdb-full-best,full-model,12,1e-05,0.0,0.1,2,5,11711,1707,4270,0.9837,4,608.6,2832027136
sst,head_ext,budget,sst-headx-000--seed0,last-linear-layer,0,0.010796066588996203,0.0,0.3,8,20,11711,8544,21360,0.4405,12,11.5,50057216
sst,head_ext,budget,sst-headx-000--seed1,last-linear-layer,0,0.010796066588996203,0.0,0.3,8,20,11712,8544,21360,0.4460,19,11.6,50057216
sst,head_ext,budget,sst-headx-000--seed2,last-linear-layer,0,0.010796066588996203,0.0,0.3,8,20,11713,8544,21360,0.4396,17,11.4,50057216
sst,head_ext,budget,sst-headx-001--seed0,last-linear-layer,0,0.02491120060806346,0.1,0.3,8,20,11711,8544,21360,0.4069,6,11.8,50057216
sst,head_ext,budget,sst-headx-001--seed1,last-linear-layer,0,0.02491120060806346,0.1,0.3,8,20,11712,8544,21360,0.4024,17,12.0,50057216
sst,head_ext,budget,sst-headx-001--seed2,last-linear-layer,0,0.02491120060806346,0.1,0.3,8,20,11713,8544,21360,0.4133,9,12.1,50057216
sst,head_ext,budget,sst-headx-002--seed0,last-linear-layer,0,0.025316285502915627,0.001,0.2,8,10,11711,8544,10680,0.4214,9,5.9,50057216
sst,head_ext,budget,sst-headx-002--seed1,last-linear-layer,0,0.025316285502915627,0.001,0.2,8,10,11712,8544,10680,0.4314,8,5.7,50057216
